TIME,GEO,UNIT,PRODUCT,INDIC_NRG,Value
1999,Belgien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,84514
1999,Tschechische Republik,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,64694
1999,Dänemark,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,38921
1999,Deutschland (bis 1990 früheres Gebiet der BRD),Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,556300
1999,Estland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,8281
1999,Irland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,22009
1999,Griechenland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,49632
1999,Spanien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,208451
1999,Frankreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,525809
1999,Kroatien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,12242
1999,Italien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,265667
1999,Zypern,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,3139
1999,Lettland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,4110
1999,Litauen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,13536
1999,Luxemburg,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,1022
1999,Ungarn,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,37832
1999,Malta,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,1854
1999,Österreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,60944
1999,Polen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,142128
1999,Portugal,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,43287
1999,Rumänien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,50710
1999,Slowenien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,13262
1999,Slowakei,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,28407
1999,Finnland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,69457
1999,Schweden,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,154860
1999,Vereinigtes Königreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,368152
1999,Norwegen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,122717
1999,Türkei,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,116440
2000,Belgien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,84012
2000,Tschechische Republik,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,73466
2000,Dänemark,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,36053
2000,Deutschland (bis 1990 früheres Gebiet der BRD),Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,576543
2000,Estland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,8509
2000,Irland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,23977
2000,Griechenland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,53843
2000,Spanien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,224472
2000,Frankreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,540734
2000,Kroatien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,10702
2000,Italien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,276642
2000,Zypern,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,3370
2000,Lettland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,4136
2000,Litauen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,11425
2000,Luxemburg,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,1169
2000,Ungarn,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,35191
2000,Malta,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,1917
2000,Österreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,61257
2000,Polen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,145184
2000,Portugal,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,43764
2000,Rumänien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,51934
2000,Slowenien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,13624
2000,Slowakei,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,31158
2000,Finnland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,69968
2000,Schweden,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,145266
2000,Vereinigtes Königreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,377069
2000,Norwegen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,142982
2000,Türkei,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,124922
2001,Belgien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,79821
2001,Tschechische Republik,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,74647
2001,Dänemark,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,37730
2001,Deutschland (bis 1990 früheres Gebiet der BRD),Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,586406
2001,Estland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,8493
2001,Irland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,24956
2001,Griechenland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,53704
2001,Spanien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,236043
2001,Frankreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,549836
2001,Kroatien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,12175
2001,Italien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,279009
2001,Zypern,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,3551
2001,Lettland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,4280
2001,Litauen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,14737
2001,Luxemburg,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,1621
2001,Ungarn,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,36415
2001,Malta,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,1943
2001,Österreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,62449
2001,Polen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,145616
2001,Portugal,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,46509
2001,Rumänien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,53866
2001,Slowenien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,14466
2001,Slowakei,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,32046
2001,Finnland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,74483
2001,Schweden,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,161617
2001,Vereinigtes Königreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,384790
2001,Norwegen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,121890
2001,Türkei,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,122725
2002,Belgien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,82069
2002,Tschechische Republik,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,76348
2002,Dänemark,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,39287
2002,Deutschland (bis 1990 früheres Gebiet der BRD),Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,586694
2002,Estland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,8606
2002,Irland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,25195
2002,Griechenland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,54608
2002,Spanien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,244963
2002,Frankreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,559194
2002,Kroatien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,12286
2002,Italien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,285276
2002,Zypern,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,3785
2002,Lettland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,3975
2002,Litauen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,17721
2002,Luxemburg,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,3696
2002,Ungarn,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,36157
2002,Malta,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,2052
2002,Österreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,62499
2002,Polen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,144126
2002,Portugal,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,46107
2002,Rumänien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,54735
2002,Slowenien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,14599
2002,Slowakei,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,32427
2002,Finnland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,74945
2002,Schweden,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,146735
2002,Vereinigtes Königreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,387248
2002,Norwegen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,130705
2002,Türkei,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,129400
2003,Belgien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,84630
2003,Tschechische Republik,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,83227
2003,Dänemark,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,46185
2003,Deutschland (bis 1990 früheres Gebiet der BRD),Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,606719
2003,Estland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,10220
2003,Irland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,25219
2003,Griechenland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,58471
2003,Spanien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,260727
2003,Frankreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,566941
2003,Kroatien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,12670
2003,Italien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,293885
2003,Zypern,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,4052
2003,Lettland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,3975
2003,Litauen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,19488
2003,Luxemburg,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,3621
2003,Ungarn,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,34145
2003,Malta,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,2236
2003,Österreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,60174
2003,Polen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,151631
2003,Portugal,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,46852
2003,Rumänien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,55140
2003,Slowenien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,13820
2003,Slowakei,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,31178
2003,Finnland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,84312
2003,Schweden,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,135437
2003,Vereinigtes Königreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,398207
2003,Norwegen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,107273
2003,Türkei,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,140581
2004,Belgien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,85643
2004,Tschechische Republik,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,84333
2004,Dänemark,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,40436
2004,Deutschland (bis 1990 früheres Gebiet der BRD),Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,615287
2004,Estland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,10304
2004,Irland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,25569
2004,Griechenland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,59346
2004,Spanien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,280007
2004,Frankreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,574269
2004,Kroatien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,13321
2004,Italien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,303347
2004,Zypern,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,4201
2004,Lettland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,4689
2004,Litauen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,19274
2004,Luxemburg,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,4132
2004,Ungarn,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,33708
2004,Malta,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,2216
2004,Österreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,64151
2004,Polen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,154159
2004,Portugal,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,45105
2004,Rumänien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,56499
2004,Slowenien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,15271
2004,Slowakei,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,30567
2004,Finnland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,85831
2004,Schweden,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,151728
2004,Vereinigtes Königreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,393936
2004,Norwegen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,110617
